A,C,D,E,F,G,H,I,J
2371,Ted Trevino,42246,-0.5,4.84,0.71,Ontario,Pens & Art Supplies,0.52
2372,Tamara Dahlen,42465,-32.7,6.48,5.74,Ontario,Paper,0.37
2373,Eileen Kiefer,42657,254.58,19.98,5.97,Ontario,Paper,0.38
2374,Ted Trevino,42820,-2.85,5.28,2.99,Ontario,Binders and Binder Accessories,0.37
2375,David Philippe,42848,-56.51,7.64,5.83,Ontario,Paper,0.36
2376,James Lanier,43269,355,48.91,5.81,Ontario,Paper,0.38
2377,James Lanier,43269,1336.96,165.98,19.99,Ontario,Binders and Binder Accessories,0.4
2378,Anemone Ratner,43367,-12.19,6.48,5.14,Ontario,Paper,0.37
2379,Anemone Ratner,43367,1.72,8.34,2.64,Ontario,"Scissors, Rulers and Trimmers",0.59
2380,Anemone Ratner,43367,-468.64,64.65,35,Ontario,Storage & Organization,0.8
2381,Cari MacIntyre,43399,-33.34,1.68,1.57,Ontario,Pens & Art Supplies,0.59
2382,Cari MacIntyre,43399,-201.28,218.75,69.64,Ontario,Tables,0.77
2383,Cari MacIntyre,43399,31.94,15.04,1.97,Ontario,Paper,0.39
2384,Melanie Page,43875,11.39,14.42,6.75,Ontario,Appliances,0.52
2385,Melanie Page,43875,117.23,150.98,143.71,Ontario,Chairs & Chairmats,0.55
2386,Melanie Page,43875,27.64,17.98,8.51,Ontario,Office Machines,0.4
2387,Melanie Page,43875,311.09,195.99,8.99,Ontario,Telephones and Communication,0.58
2388,Melanie Page,43875,331.29,125.99,7.69,Ontario,Telephones and Communication,0.58
2389,Cynthia Arntzen,44197,-229.79,140.98,53.48,Ontario,Bookcases,0.65
2390,Erin Smith,44229,50.16,4.84,0.71,Ontario,Pens & Art Supplies,0.52
2391,Chris Selesnick,44386,-75.13,4.91,4.97,Ontario,Binders and Binder Accessories,0.38
2392,Chris Selesnick,44386,518.81,28.48,1.99,Ontario,Computer Peripherals,0.4
2393,Noel Staavos,44390,2033.5,99.23,8.99,Ontario,Office Furnishings,0.35
2394,Dean Braden,44612,-147.72,85.99,1.25,Ontario,Telephones and Communication,0.39
2395,George Bell,44614,-56.63,2.22,5,Ontario,Appliances,0.55
2396,George Bell,44614,-123.01,26.31,5.89,Ontario,Computer Peripherals,0.75
2397,Edward Becker,44615,-10.26,1.88,1.49,Ontario,Binders and Binder Accessories,0.37
2398,Lena Creighton,44864,-171.41,7.77,9.23,Ontario,Appliances,0.58
2399,Joni Sundaresam,44900,-12.03,11.19,5.03,Ontario,Paper,0.37
2400,Tamara Chand,44960,-72.81,6.48,8.4,Ontario,Paper,0.37
2401,Tamara Chand,44960,-82.54,8.57,6.14,Ontario,"Scissors, Rulers and Trimmers",0.59
2402,Tamara Chand,44960,-23.69,1.7,1.99,Ontario,Computer Peripherals,0.51
2403,Anthony Witt,44992,524.73,51.98,10.17,Ontario,Office Machines,0.37
2404,Anthony Witt,44992,-536.17,218.75,69.64,Ontario,Tables,0.72
2405,Erin Smith,45125,-252.01,160.98,35.02,Ontario,Bookcases,0.72
2406,Erin Smith,45125,1193.11,175.99,4.99,Ontario,Telephones and Communication,0.59
2407,George Ashbrook,45190,135.26,150.98,43.71,Ontario,Chairs & Chairmats,0.55
2408,George Ashbrook,45414,-563.86,60.98,49,Ontario,Appliances,0.59
2409,Nat Carroll,45700,518.48,38.06,4.5,Ontario,Appliances,0.56
2410,Duane Huffman,45824,1232.79,140.81,24.49,Ontario,Chairs & Chairmats,0.57
2411,George Ashbrook,45991,-68.16,100.98,35.84,Ontario,Bookcases,0.62
2412,George Ashbrook,45991,82.6,4.13,0.5,Ontario,Labels,0.39
2413,Jonathan Howell,46307,175.97,19.98,5.77,Ontario,Paper,0.38
2414,Jonathan Howell,46307,283.14,42.76,6.22,Ontario,Storage & Organization,
2415,David Philippe,46434,270.29,24.95,2.99,Ontario,Binders and Binder Accessories,0.39
2416,Matt Hagelstein,46466,71.31,37.93,13.99,Ontario,Office Furnishings,0.67
2417,Edward Nazzal,46528,-865.98,70.71,37.58,Ontario,Office Furnishings,0.78
2418,Edward Nazzal,46528,57.25,18.97,9.54,Ontario,Paper,0.37
2419,Magdelene Morse,46626,-276.95,95.98,58.2,Ontario,Chairs & Chairmats,0.58
2420,Eudokia Martin,46853,1489.8,256.99,11.25,Ontario,Computer Peripherals,0.51
2421,Darren Budd,46855,-4.68,1.68,0.7,Ontario,Office Furnishings,0.68
2422,Jesus Ocampo,46919,174.61,152.48,6.5,Ontario,Computer Peripherals,0.74
2423,Allen Golden,46977,7.25,4.82,1.49,Ontario,Binders and Binder Accessories,0.36
2424,Allen Golden,46977,494.63,175.99,8.99,Ontario,Telephones and Communication,0.57
2425,Cynthia Arntzen,47041,-7.08,4.63,1.93,Ontario,Pens & Art Supplies,0.52
2426,Eileen Kiefer,47301,-231.95,70.98,35,Ontario,Storage & Organization,0.8
2427,Philip Brown,47714,-690.21,105.49,41.64,Ontario,Tables,0.75
2428,Darren Budd,48003,-106.54,5.98,4.38,Ontario,Computer Peripherals,0.75
2429,Darren Budd,48003,-69.05,6.48,9.68,Ontario,Office Furnishings,0.44
2430,Ruben Ausman,48195,850.54,115.99,2.5,Ontario,Telephones and Communication,0.57
2431,Ruben Ausman,48195,296.87,35.99,5.99,Ontario,Telephones and Communication,0.38
2432,Ruben Ausman,48195,47.28,65.99,19.99,Ontario,Telephones and Communication,0.59
2433,Eileen Kiefer,48357,619.71,150.98,13.99,Ontario,Office Machines,0.38
2434,George Bell,48615,0.21,4.13,0.5,Ontario,Labels,0.39
2435,George Bell,48615,219.02,54.74,14.83,Ontario,Office Furnishings,0.54
2436,Matt Collister,48642,-13.72,8.67,3.5,Ontario,Appliances,0.58
2437,Matt Collister,48642,-122.09,100.98,7.18,Ontario,Computer Peripherals,0.4
2438,Cynthia Arntzen,48710,-1.73,6.98,1.6,Ontario,Paper,0.38
2439,Brian Stugart,49094,-25.98,27.48,4,Ontario,Computer Peripherals,0.75
2440,Edward Becker,49125,-116.05,5.78,7.64,Ontario,Paper,0.36
2441,Noah Childs,49216,-72.44,3.28,3.97,Ontario,Pens & Art Supplies,0.56
2442,Darren Budd,49538,217.57,26.38,5.58,Ontario,Office Furnishings,0.62
2443,Dave Hallsten,49730,-394.69,350.98,30,Ontario,Chairs & Chairmats,0.61
2444,Edward Nazzal,49924,-155.53,4.24,5.41,Ontario,Binders and Binder Accessories,0.35
2445,Edward Nazzal,49924,-35.96,2.23,4.57,Ontario,Office Furnishings,0.41
2446,Anemone Ratner,50306,564.07,63.98,11.55,Ontario,Binders and Binder Accessories,0.38
2447,Dan Lawera,50566,-37.43,8.67,3.5,Ontario,Appliances,0.58
2448,Nancy Lomonaco,50823,269.94,100.98,7.18,Ontario,Computer Peripherals,0.4
2449,Dan Lawera,50854,-64.24,4.98,4.95,Ontario,Binders and Binder Accessories,0.37
2450,Dan Lawera,50854,1118.17,500.98,28.14,Ontario,Office Machines,0.38
2451,Dan Lawera,50854,25.79,10.98,3.37,Ontario,"Scissors, Rulers and Trimmers",0.57
2452,Theresa Coyne,51109,26.21,4,1.3,Ontario,Paper,0.37
2453,Lena Creighton,51395,32.5,2.88,0.5,Ontario,Labels,0.36
2454,Lena Creighton,51395,-32.13,4.98,5.49,Ontario,Paper,0.38
2455,David Philippe,51559,129.81,25.98,4.08,Ontario,Pens & Art Supplies,0.57
2456,Lena Creighton,51813,-469.84,110.98,35,Ontario,Storage & Organization,0.82
2457,James Lanier,51937,2816.21,294.62,42.52,Ontario,Appliances,0.57
2458,Darren Budd,52098,220.07,39.06,10.55,Ontario,Chairs & Chairmats,0.61
2459,Philip Brown,52102,-23.61,11.97,5.81,Ontario,Pens & Art Supplies,0.6
2460,Jeremy Ellison,52135,863.57,99.99,19.99,Ontario,Computer Peripherals,0.5
2461,Darren Budd,52162,-220.3,6.48,9.68,Ontario,Bookcases,0.56
2462,Darren Budd,52162,23.34,3.29,1.35,Ontario,Chairs & Chairmats,0.55
2463,Cari MacIntyre,52256,119.89,65.99,4.2,Ontario,Telephones and Communication,0.59
2464,Alan Hwang,52391,440.48,29.14,4.86,Ontario,Paper,0.38
2465,Alan Hwang,52391,-309.43,20.89,11.52,Ontario,Storage & Organization,0.83
2466,Magdelene Morse,52642,-320.7,70.98,59.81,Ontario,Chairs & Chairmats,0.6
2467,Magdelene Morse,52642,-281.67,152.48,4,Ontario,Computer Peripherals,0.79
2468,Magdelene Morse,52642,276.98,55.98,4.86,Ontario,Paper,0.36
2469,Alan Hwang,52645,-8.37,5.85,2.27,Ontario,Pens & Art Supplies,0.56
2470,Alan Hwang,52645,97.36,70.97,3.5,Ontario,Appliances,0.59
2471,Aimee Bixby,52711,-51.25,5.81,3.37,Ontario,Rubber Bands,0.54
2472,Lena Creighton,52896,2.76,5.18,2.04,Ontario,Paper,0.36
2473,Lena Creighton,52896,-192.49,259.71,66.67,Ontario,Tables,0.65
2474,Eugene Hildebrand,52999,22.85,7.59,4,Ontario,Office Furnishings,0.42
2475,Eugene Hildebrand,52999,98.86,9.11,2.15,Ontario,Paper,0.4
2476,Eugene Hildebrand,52999,-21.19,5.78,5.67,Ontario,Paper,0.36
2477,Noel Staavos,53254,1640.3,175.99,4.99,Ontario,Telephones and Communication,0.59
2478,Philip Brown,53281,1894.14,355.98,58.92,Ontario,Chairs & Chairmats,0.64
2479,Eudokia Martin,53285,163.8,165.98,19.99,Ontario,Binders and Binder Accessories,0.4
2480,Edward Nazzal,53312,2464.75,363.25,19.99,Ontario,Appliances,0.57
2481,Edward Nazzal,53312,-173.36,3.34,7.49,Ontario,Pens & Art Supplies,0.54
2482,Erin Ashbrook,53637,61.27,39.98,9.83,Ontario,Envelopes,0.4
2483,Tamara Chand,53698,13.38,4.84,0.71,Ontario,Pens & Art Supplies,0.52
2484,Mike Caudle,54183,1097.25,82.99,5.5,Ontario,Computer Peripherals,0.44
2485,Mike Caudle,54183,-52.25,11.66,8.99,Ontario,Pens & Art Supplies,0.59
2486,Cari MacIntyre,54245,-114.91,20.99,2.5,Ontario,Telephones and Communication,0.81
2487,Alan Hwang,54339,1053.21,59.98,3.99,Ontario,Appliances,0.57
2488,Alan Hwang,54339,458.62,65.99,5.31,Ontario,Telephones and Communication,0.57
2489,Dave Hallsten,54401,278.58,20.98,1.49,Ontario,Binders and Binder Accessories,0.35
2490,Fred Hopkins,54563,43.87,20.24,8.99,Ontario,Office Furnishings,0.46
2491,Jonathan Howell,54694,-201.6,2.66,6.35,Ontario,Envelopes,0.36
2492,Matt Collister,54755,443.52,73.98,4,Ontario,Computer Peripherals,0.77
2493,Duane Huffman,54914,-57.64,5.98,5.46,Ontario,Paper,0.36
2494,Duane Huffman,54914,-27.83,12.44,6.27,Ontario,Storage & Organization,0.57
2495,Kelly Lampkin,55073,721.81,65.99,3.99,Ontario,Telephones and Communication,0.57
2496,Edward Nazzal,55270,-12.75,29.17,6.27,Ontario,Binders and Binder Accessories,0.37
2497,Philip Brown,55716,-767.51,1637.53,24.49,Ontario,"Scissors, Rulers and Trimmers",0.81
2498,Dean Braden,55776,1096.64,145.45,17.85,Ontario,Office Machines,0.56
2499,Erica Smith,55874,-60.15,7.1,6.05,Ontario,Binders and Binder Accessories,0.39
2500,Erica Smith,55874,-111.72,4.98,4.62,Ontario,Computer Peripherals,0.64
2501,Dave Hallsten,56002,149.31,23.99,6.71,Ontario,Envelopes,0.35
2502,Dave Hallsten,56002,286.7,55.98,4.86,Ontario,Paper,0.36
2503,Dave Hallsten,56002,35.31,161.55,19.99,Ontario,Storage & Organization,0.66
2504,Dave Hallsten,56002,-377.81,290.98,69,Ontario,Tables,0.67
2505,Erica Smith,56039,-33.15,6.68,5.2,Ontario,Paper,0.37
2506,Jim Mitchum,56710,5.71,13.43,5.5,Ontario,Storage & Organization,0.57
2507,Jim Mitchum,56710,-39.22,65.99,3.99,Ontario,Telephones and Communication,0.59
2508,Jim Mitchum,56710,-99.24,30.98,6.5,Ontario,Computer Peripherals,0.64
2509,Jim Mitchum,56710,232.99,35.41,1.99,Ontario,Computer Peripherals,0.43
2510,David Philippe,57092,601.34,110.99,8.99,Ontario,Telephones and Communication,0.57
2511,Darren Budd,57253,1.74,1.81,0.75,Ontario,Chairs & Chairmats,0.58
2512,Darren Budd,57253,-1358.9,20.98,53.03,Ontario,Chairs & Chairmats,0.64
2513,Darren Budd,57253,-335.24,279.48,35,Ontario,Office Furnishings,0.6
2514,Darren Budd,57253,-139.16,4.91,5.68,Ontario,Tables,0.7
2515,Darren Budd,57253,667.45,125.99,5.26,Ontario,Telephones and Communication,0.55
2516,George Ashbrook,57382,16.9,4.55,1.49,Ontario,Binders and Binder Accessories,0.35
2517,George Ashbrook,57382,20.14,9.78,5.76,Ontario,Envelopes,0.35
2518,Tamara Chand,57415,-16.37,15.42,5.41,Ontario,Storage & Organization,0.59
2519,Darren Budd,57606,-64.24,8.46,3.62,Ontario,Computer Peripherals,0.61
2520,Edward Becker,57794,-46.92,4.98,6.07,Ontario,Paper,0.36
2521,David Philippe,58054,-92.11,2.08,5.33,Ontario,Office Furnishings,0.43
2522,Anemone Ratner,58113,-88.95,7.68,6.16,Ontario,Binders and Binder Accessories,0.35
2523,Anemone Ratner,58113,-38.07,200.99,4.2,Ontario,Telephones and Communication,0.59
2524,Janet Martin,58528,233.8,46.89,5.1,Ontario,Appliances,0.46
2525,Janet Martin,58528,-9.14,3.69,2.5,Ontario,Envelopes,0.39
2526,Edward Nazzal,58598,1342.93,300.98,64.73,Ontario,Chairs & Chairmats,0.56
2527,Edward Nazzal,58598,33.46,3.41,0.7,Ontario,Rubber Bands,0.37
2528,Alan Hwang,58851,-6.39,8.34,0.96,Ontario,Office Furnishings,0.43
2529,Alan Hwang,58851,537.4,140.99,13.99,Ontario,Office Machines,0.37
2530,Eugene Hildebrand,58853,1116.67,200.98,23.76,Ontario,Chairs & Chairmats,0.58
2531,Andrew Roberts,59015,23.5,8.5,1.99,Ontario,Computer Peripherals,0.49
2532,Andrew Roberts,59015,149.39,8.34,0.96,Ontario,Office Furnishings,0.43
2533,Andrew Roberts,59015,783.84,48.91,5.81,Ontario,Paper,0.38
2534,David Smith,59075,55.06,11.19,5.03,Ontario,Paper,0.37
2535,Edward Becker,59108,-59.97,3.28,3.97,Ontario,Pens & Art Supplies,0.56
2536,Edward Becker,59108,972.19,125.99,8.99,Ontario,Telephones and Communication,0.59
2537,Magdelene Morse,59589,122.42,64.98,6.88,Ontario,Storage & Organization,0.73
2538,Jim Mitchum,59685,78.98,40.98,5.33,Ontario,Appliances,0.57
2539,Jim Mitchum,59685,-560.29,12.99,14.37,Ontario,Office Furnishings,0.73
2540,Ed Ludwig,59845,3.02,4.71,0.7,Ontario,Rubber Bands,0.8
2541,Ed Ludwig,59845,6.52,4.2,2.26,Ontario,Paper,0.36
2542,Michael Dominguez,134,-310.21,95.99,35,Ontario,Storage & Organization,
2543,Thomas Boland,740,3.46,4.98,0.49,Ontario,Labels,0.39
2544,Olvera Toch,833,-20.32,12.53,7.17,Ontario,Binders and Binder Accessories,0.38
2545,Lena Radford,1573,-226.45,60.89,32.41,Ontario,Chairs & Chairmats,0.56
2546,Sean Christensen,1639,-62.2,6.78,6.18,Ontario,Paper,0.39
2547,Todd Boyes,2053,5603.95,500.98,126,Ontario,Chairs & Chairmats,0.6
2548,Todd Boyes,2053,-449.53,140.99,4.2,Ontario,Telephones and Communication,0.59
2549,Todd Boyes,2146,1663.08,175.99,4.99,Ontario,Telephones and Communication,0.59
2550,Todd Boyes,2146,41.7,2.61,0.5,Ontario,Labels,0.39
2551,Todd Boyes,2752,226.73,22.98,1.99,Ontario,Computer Peripherals,0.46
2552,Todd Boyes,2752,55.48,3.78,0.71,Ontario,Rubber Bands,0.39
2553,Todd Boyes,2752,15.77,34.76,8.22,Ontario,Storage & Organization,0.57
2554,Todd Boyes,2752,-86.52,65.99,5.63,Ontario,Telephones and Communication,0.56
2555,Michael Dominguez,5445,14.43,3.69,0.5,Ontario,Labels,0.38
2556,Michael Dominguez,5445,-1.82,4.63,1.93,Ontario,Pens & Art Supplies,0.52
2557,Sean Miller,5699,-4.21,4.13,0.99,Ontario,Labels,0.39
2558,Sean Miller,5699,-121.44,14.98,7.69,Ontario,Storage & Organization,0.57
2559,Todd Boyes,6823,490.28,24.95,2.99,Ontario,Binders and Binder Accessories,0.39
2560,Todd Boyes,6823,-135.46,15.98,8.99,Ontario,Computer Peripherals,0.64
2561,Phillip Breyer,6948,-88.7,73.98,4,Ontario,Computer Peripherals,0.79
2562,Lena Radford,7462,-26.94,22.01,5.53,Ontario,Pens & Art Supplies,0.59
2563,Todd Boyes,7845,-63.38,4.91,5.68,Ontario,Binders and Binder Accessories,0.36
2564,Todd Boyes,7845,1012.67,48.94,5.86,Ontario,Paper,0.35
2565,Michelle Ellison,8033,-133.62,4.06,6.89,Ontario,Appliances,0.6
2566,Olvera Toch,8388,25.16,7.59,4,Ontario,Office Furnishings,0.42
2567,Olvera Toch,8388,24.85,11.7,5.63,Ontario,Binders and Binder Accessories,0.4
2568,Olvera Toch,8388,96.34,6.98,1.6,Ontario,Paper,0.38
2569,Todd Boyes,9761,-221.62,90.97,14,Ontario,Office Machines,0.36
2570,Todd Boyes,9761,-92.23,5.98,7.15,Ontario,Paper,0.36
2571,Sean Christensen,9863,0.1,1.76,0.7,Ontario,Pens & Art Supplies,0.56
2572,Michelle Ellison,10342,-1623.6,114.98,58.72,Ontario,Bookcases,0.76
2573,Michelle Ellison,10342,2925.37,299.99,11.64,Ontario,Copiers and Fax,0.5
2574,Michelle Ellison,10342,324.47,40.97,14.45,Ontario,Office Furnishings,0.57
2575,Michelle Ellison,10342,-2342.01,999.99,13.99,Ontario,Office Machines,0.36
2576,Michelle Ellison,10434,-244.47,180.98,26.2,Ontario,Chairs & Chairmats,0.59
2577,Scot Coram,11040,389.61,23.99,6.71,Ontario,Envelopes,0.35
2578,Natalie Fritzler,11302,35.29,90.97,14,Ontario,Office Machines,0.36
2579,Nathan Gelder,11398,-106.77,5.98,10.39,Ontario,Paper,0.4
2580,Nathan Gelder,11398,23.37,2.94,0.81,Ontario,Pens & Art Supplies,0.4
2581,Sean Miller,11584,836.51,35.99,0.99,Ontario,Telephones and Communication,0.35
2582,Olvera Toch,11652,-36,32.98,5.5,Ontario,Computer Peripherals,0.75
2583,Olvera Toch,11652,-249.11,5.98,10.39,Ontario,Paper,0.4
2584,Olvera Toch,11652,-261.35,65.99,8.99,Ontario,Telephones and Communication,0.56
2585,Olvera Toch,11652,14.11,5.18,2.04,Ontario,Paper,0.36
2586,Michael Dominguez,11686,1312.34,205.99,2.5,Ontario,Telephones and Communication,0.59
2587,Michelle Ellison,13895,-171.7,14.03,9.37,Ontario,Storage & Organization,0.56
2588,Michael Dominguez,14820,-104.47,7.99,5.03,Ontario,Telephones and Communication,0.6
2589,Thomas Boland,15170,-9.11,20.99,4.81,Ontario,Telephones and Communication,0.58
2590,Thomas Boland,15780,22.71,3.78,0.71,Ontario,Rubber Bands,0.39
2591,Patricia Hirasaki,16098,50.59,14.98,8.99,Ontario,Office Furnishings,0.39
2592,Maria Zettner,16103,-62.97,6.48,6.22,Ontario,Paper,0.37
2593,Thomas Boland,16610,187.57,35.94,6.66,Ontario,Envelopes,0.4
2594,Matthew Clasen,18757,-40.25,22.38,15.1,Ontario,Binders and Binder Accessories,0.38
2595,Matthew Clasen,18757,-37.8,5.94,9.92,Ontario,Binders and Binder Accessories,0.38
2596,Nathan Gelder,19431,-5.54,4.13,1.17,Ontario,Pens & Art Supplies,0.57
2597,Maria Zettner,19584,-3971.06,2550.14,29.7,Ontario,Office Machines,0.57
2598,Patrick O'Donnell,20262,185.04,22.72,8.99,Ontario,Office Furnishings,0.44
2599,Sean Miller,20545,-163.58,284.98,69.55,Ontario,Chairs & Chairmats,0.6
2600,Sean Miller,20545,554.95,40.99,5.86,Ontario,Paper,0.36
2601,Sean Miller,20545,-1754.39,71.37,69,Ontario,Tables,0.68
2602,Patrick O'Donnell,20577,134.75,39.06,10.55,Ontario,Binders and Binder Accessories,0.37
2603,Sean Miller,20804,215.31,442.14,14.7,Ontario,Office Machines,0.56
2604,Harry Marie,21414,29.27,3.38,1.09,Ontario,Paper,0.39
2605,Harry Marie,21414,-1144.67,80.98,35,Ontario,Storage & Organization,0.81
2606,Harry Marie,21414,717.7,125.99,5.63,Ontario,Telephones and Communication,0.6
2607,Sean Christensen,21447,9.85,10.98,3.37,Ontario,"Scissors, Rulers and Trimmers",0.57
2608,Patrick O'Donnell,21479,-89.47,6.48,6.57,Ontario,Paper,0.37
2609,Sean Christensen,22208,18.59,30.97,4,Ontario,Computer Peripherals,0.74
2610,Sean Christensen,22208,1379.76,125.99,7.69,Ontario,Telephones and Communication,0.58
2611,Lena Radford,22279,1040.65,54.96,10.75,Ontario,Paper,0.36
2612,Harry Marie,23174,44.8,216.6,64.2,Ontario,Chairs & Chairmats,0.59
2613,Harry Marie,23174,-60.04,16.74,7.04,Ontario,Storage & Organization,0.81
2614,Michael Dominguez,23333,-21.65,14.42,6.75,Ontario,Appliances,0.52
2615,Michael Dominguez,23333,-69.29,5.98,5.79,Ontario,Paper,0.36
2616,Michael Dominguez,23333,-23.83,65.99,8.99,Ontario,Telephones and Communication,0.56
2617,Patrick O'Donnell,24640,-151.73,113.98,30,Ontario,Chairs & Chairmats,0.69
2618,Phillip Breyer,25056,-151.93,6.48,8.19,Ontario,Paper,0.37
2619,Michael Dominguez,26244,-42.61,8.46,3.62,Ontario,Computer Peripherals,0.61
2620,Scot Coram,27201,789.05,500.98,26,Ontario,Chairs & Chairmats,0.6
2621,Scot Coram,27201,-2661.32,70.89,89.3,Ontario,Tables,0.72
2622,Michelle Ellison,27808,4.41,20.89,1.99,Ontario,Computer Peripherals,0.48
2623,Michael Dominguez,29573,42.24,18.97,9.54,Ontario,Paper,0.37
2624,Maria Zettner,29862,-76.88,6.48,5.86,Ontario,Paper,0.36
2625,Nathan Gelder,30433,-35.78,13.9,7.59,Ontario,"Scissors, Rulers and Trimmers",0.56
2626,Victoria Wilson,30532,-28.67,15.22,9.73,Ontario,Binders and Binder Accessories,0.36
2627,Victoria Wilson,30532,27.55,11.09,5.25,Ontario,Envelopes,0.36
2628,Victoria Wilson,30532,82.19,11.34,5.01,Ontario,Paper,0.36
2629,Victoria Wilson,30532,-82.81,180.98,23.58,Ontario,Bookcases,0.74
2630,Michelle Ellison,30597,20.01,5.08,2.03,Ontario,Office Furnishings,0.51
2631,Michelle Ellison,30597,-95.76,15.14,4.53,Ontario,Storage & Organization,0.81
2632,Nathan Gelder,30981,1817.76,279.81,23.19,Ontario,Appliances,0.59
2633,Nathan Gelder,30981,-116.02,180.98,30,Ontario,Chairs & Chairmats,0.69
2634,Todd Boyes,31751,-10.22,14.27,7.27,Ontario,Binders and Binder Accessories,0.38
2635,Shahid Collister,31873,-91.09,70.97,3.5,Ontario,Appliances,0.59
2636,Shahid Collister,31873,13.01,205.99,8.99,Ontario,Telephones and Communication,0.6
2637,Shahid Collister,31873,2539.46,205.99,8.99,Ontario,Telephones and Communication,0.56
2638,Shahid Collister,31873,-125.29,5.28,6.26,Ontario,Paper,0.4
2639,Victoria Wilson,32000,24.95,3.29,1.35,Ontario,Rubber Bands,0.4
2640,Victoria Wilson,32000,-1096.78,550.98,147.12,Ontario,Tables,0.8
2641,Victoria Wilson,32737,116.8,28.53,1.49,Ontario,Binders and Binder Accessories,0.38
2642,Thomas Boland,35012,-16.38,11.97,4.98,Ontario,Appliances,0.58
2643,Thomas Boland,35012,-165.95,195.99,4.2,Ontario,Telephones and Communication,0.56
2644,Michael Dominguez,35042,-12.51,50.98,6.5,Ontario,Computer Peripherals,0.73
2645,Phillip Breyer,35713,590.04,28.53,1.49,Ontario,Binders and Binder Accessories,0.38
2646,Patrick O'Donnell,36229,373.5,120.97,7.11,Ontario,Office Machines,0.36
2647,Patrick O'Donnell,36229,-31.73,146.34,43.75,Ontario,Tables,0.65
2648,Todd Boyes,36933,47.56,3.69,0.5,Ontario,Labels,0.38
2649,Thomas Boland,37152,182.53,113.98,30,Ontario,Chairs & Chairmats,0.69
2650,Thomas Boland,37152,447.12,65.99,8.8,Ontario,Telephones and Communication,0.58
2651,Victoria Wilson,37223,310.59,155.99,8.99,Ontario,Telephones and Communication,0.58
2652,Victoria Wilson,37223,-152.4,17.7,9.47,Ontario,Storage & Organization,0.59
2653,Victoria Wilson,37223,-743.45,135.31,35,Ontario,Storage & Organization,0.84
2654,Katrina Bavinger,37254,370.23,26.17,1.39,Ontario,Envelopes,0.38
2655,Katrina Bavinger,37441,3407.73,300.98,164.73,Ontario,Chairs & Chairmats,0.56
2656,Katrina Bavinger,37441,-1.84,2.94,0.96,Ontario,Pens & Art Supplies,0.58
2657,Victoria Wilson,38084,18.41,9.11,2.15,Ontario,Paper,0.4
2658,Victoria Wilson,38084,65.63,12.64,4.98,Ontario,Office Furnishings,0.48
2659,Natalie Fritzler,39168,321.67,37.7,2.99,Ontario,Binders and Binder Accessories,0.35
2660,Natalie Fritzler,39168,184.07,19.98,8.68,Ontario,Paper,0.37
2661,Natalie Fritzler,39168,5.08,10.48,2.89,Ontario,Pens & Art Supplies,0.6
2662,Michelle Ellison,39333,2081.48,320.98,24.49,Ontario,Chairs & Chairmats,0.55
2663,Michelle Ellison,39333,-33.4,4.98,4.7,Ontario,Paper,0.38
2664,Olvera Toch,39589,253.5,12.97,1.49,Ontario,Binders and Binder Accessories,0.35
2665,Olvera Toch,39589,39.91,4.91,0.5,Ontario,Labels,0.36
2666,Sean Christensen,39906,15.25,3.38,1.09,Ontario,Paper,0.39
2667,Olvera Toch,40097,-71,2.6,2.4,Ontario,Pens & Art Supplies,0.58
2668,Maria Zettner,40193,692.78,115.99,2.5,Ontario,Telephones and Communication,0.57
2669,Michelle Ellison,40258,-190.49,14.81,13.32,Ontario,Appliances,0.43
2670,Michelle Ellison,40258,-8.77,2.78,1.25,Ontario,Pens & Art Supplies,0.59
2671,Michelle Ellison,40544,544.04,60.65,12.23,Ontario,Office Furnishings,0.64
2672,Victoria Wilson,41765,-95.99,4.98,4.95,Ontario,Binders and Binder Accessories,0.37
2673,Thomas Boland,42242,-33.19,11.5,7.19,Ontario,Binders and Binder Accessories,0.4
2674,Thomas Boland,42242,236.61,100.97,7.18,Ontario,Computer Peripherals,0.46
2675,Thomas Boland,42242,231.49,99.99,19.99,Ontario,Office Machines,0.52
2676,Patricia Hirasaki,42369,274.98,17.48,1.99,Ontario,Computer Peripherals,0.46
2677,Olvera Toch,42690,8918.74,420.98,19.99,Ontario,Binders and Binder Accessories,0.35
2678,Olvera Toch,42690,-236.12,16.74,7.04,Ontario,Storage & Organization,0.81
2679,Victoria Wilson,45184,5485.15,599.99,24.49,Ontario,Copiers and Fax,0.37
2680,Victoria Wilson,45184,2.65,2.62,0.8,Ontario,Rubber Bands,0.39
2681,Michelle Ellison,45632,231.68,8.34,0.96,Ontario,Office Furnishings,0.43
2682,Sean Miller,46276,-52.62,28.48,1.99,Ontario,Computer Peripherals,0.4
2683,Sean Miller,46276,6079.63,699.99,24.49,Ontario,Copiers and Fax,0.41
2684,Patrick O'Donnell,46566,258.25,31.11,3.6,Ontario,Computer Peripherals,0.64
2685,Sean Christensen,48198,-688.44,442.14,14.7,Ontario,Office Machines,0.56
2686,Sean Christensen,48198,860.22,60.22,3.5,Ontario,Appliances,0.57
2687,Victoria Wilson,48453,-7.73,7.96,4.95,Ontario,Office Furnishings,0.41
2688,Scot Coram,48518,178.14,37.94,5.08,Ontario,Paper,0.38
2689,Olvera Toch,49349,0.64,11.34,5.01,Ontario,Paper,0.36
2690,Olvera Toch,49349,-524.03,68.81,60,Ontario,Appliances,0.41
